Date,Currency,Mean,Buy,Sell
11/23/2016,US DOLLAR,101.8528,101.7527778,101.9527778
11/23/2016,STG POUND,126.4492,126.3122222,126.5861111
11/23/2016,EURO,108.0728,107.95,108.1955556
11/23/2016,USHS,35.4729,35.38893278,35.55676886
11/23/2016,TSHS,21.4231,21.35302291,21.49327073
11/23/2016,RWF,7.9645,7.92229518,8.006661025
11/23/2016,BIF,16.5034,16.36443887,16.64229751
11/24/2016,US DOLLAR,101.865,101.765,101.965
11/24/2016,STG POUND,126.0078,125.8711111,126.1444444
11/24/2016,EURO,107.4808,107.3633333,107.5983333
11/24/2016,USHS,35.5373,35.45334183,35.62128433
11/24/2016,TSHS,21.4009,21.33084882,21.47103621
11/24/2016,RWF,7.9656,7.92340509,8.007762983
11/24/2016,BIF,16.5007,16.38630903,16.61504447
11/24/2016,US DOLLAR,101.865,101.765,101.965
11/24/2016,STG POUND,126.0078,125.8711111,126.1444444
11/24/2016,EURO,107.4808,107.3633333,107.5983333
11/24/2016,USHS,35.5373,35.45334183,35.62128433
11/24/2016,TSHS,21.4009,21.33084882,21.47103621
11/24/2016,RWF,7.9656,7.92340509,8.007762983
11/24/2016,BIF,16.5007,16.38630903,16.61504447
11/23/2016,US DOLLAR,101.8528,101.7527778,101.9527778
11/23/2016,STG POUND,126.4492,126.3122222,126.5861111
11/23/2016,EURO,108.0728,107.95,108.1955556
11/23/2016,USHS,35.4729,35.38893278,35.55676886
11/23/2016,TSHS,21.4231,21.35302291,21.49327073
11/23/2016,RWF,7.9645,7.92229518,8.006661025
11/23/2016,BIF,16.5034,16.36443887,16.64229751
11/28/2016,US DOLLAR,101.8939,101.7938889,101.9938889
11/28/2016,STG POUND,126.6992,126.5583333,126.84
11/28/2016,EURO,108.0856,107.9661111,108.205
11/28/2016,USHS,35.5763,35.49232252,35.66029395
11/28/2016,TSHS,21.3851,21.31500253,21.455119
11/28/2016,RWF,7.9664,7.924200252,8.008535767
11/28/2016,BIF,16.4986,16.38421692,16.61288333
11/28/2016,US DOLLAR,101.8939,101.7938889,101.9938889
11/28/2016,STG POUND,126.6992,126.5583333,126.84
11/28/2016,EURO,108.0856,107.9661111,108.205
11/28/2016,USHS,35.5763,35.49232252,35.66029395
11/28/2016,TSHS,21.3851,21.31500253,21.455119
11/28/2016,RWF,7.9664,7.924200252,8.008535767
11/28/2016,BIF,16.4986,16.38421692,16.61288333
11/29/2016,STG POUND,126.4169,126.2827778,126.5511111
11/29/2016,EURO,107.9628,107.8466667,108.0788889
11/29/2016,USHS,35.5827,35.49870339,35.66671761
11/29/2016,TSHS,21.3987,21.32864085,21.46880936
11/29/2016,RWF,7.9691,7.926899693,8.011255704
11/29/2016,BIF,16.5036,16.36470614,16.64250311
11/29/2016,US DOLLAR,101.8756,101.7755556,101.9755556
11/30/2016,US DOLLAR,101.8769,101.7811111,101.9727778
11/30/2016,STG POUND,127.1036,126.9594444,127.2477778
11/30/2016,EURO,108.0708,107.9522222,108.1894444
11/30/2016,USHS,35.5822,35.49967039,35.6647708
11/30/2016,TSHS,21.3984,21.32922185,21.46763752
11/30/2016,RWF,8.1662,8.124128989,8.208202788
11/30/2016,BIF,16.4171,16.30346879,16.53067039
12/1/2016,US DOLLAR,101.8503,101.7544444,101.9461111
12/1/2016,STG POUND,127.6264,127.4883333,127.7644444
12/1/2016,EURO,108.1442,108.0272222,108.2611111
12/1/2016,USHS,35.5719,35.48933805,35.65446227
12/1/2016,TSHS,21.404,21.33480107,21.47326352
12/1/2016,RWF,7.9755,7.933603265,8.01734022
12/1/2016,BIF,16.4236,16.28546672,16.56183186
12/2/2016,US DOLLAR,101.8586,101.7627778,101.9544444
12/2/2016,STG POUND,129.2742,129.1283333,129.42
12/2/2016,EURO,108.2375,108.1238889,108.3511111
12/2/2016,USHS,35.6377,35.55509541,35.72032996
12/2/2016,TSHS,21.4023,21.33305725,21.47150508
12/2/2016,RWF,8.0602,8.018287035,8.102176631
12/2/2016,BIF,16.5329,16.3945771,16.67112511
12/5/2016,US DOLLAR,101.87,101.77,101.97
12/5/2016,STG POUND,128.7897,128.6483333,128.9311111
12/5/2016,EURO,108.4706,108.3516667,108.5894444
12/5/2016,USHS,35.6337,35.54967147,35.71779503
12/5/2016,TSHS,21.3999,21.32980288,21.46998133
12/5/2016,RWF,7.9761,7.933902128,8.018276506
12/5/2016,BIF,16.5139,16.39952927,16.62827945
12/6/2016,US DOLLAR,101.8739,101.7738889,101.9738889
12/6/2016,STG POUND,129.5808,129.44,129.7216667
12/6/2016,EURO,108.8653,108.7405556,108.99
12/6/2016,USHS,35.6127,35.52870288,35.69677881
12/6/2016,TSHS,21.3991,21.32898945,21.46916094
12/6/2016,RWF,7.9778,7.935658911,8.020033517
12/6/2016,BIF,16.4254,16.31113629,16.53970403
12/7/2016,US DOLLAR,101.9144,101.8144444,102.0144444
12/7/2016,STG POUND,129.6975,129.5455556,129.8494444
12/7/2016,EURO,109.3275,109.2011111,109.4538889
12/7/2016,USHS,35.5789,35.49497348,35.6629162
12/7/2016,TSHS,21.3709,21.3009051,21.44096559
12/7/2016,RWF,7.9758,7.933680416,8.018017526
12/7/2016,BIF,16.418,16.30376962,16.53223184
12/8/2016,US DOLLAR,101.9731,101.8772222,102.0688889
12/8/2016,STG POUND,128.6494,128.5044444,128.7944444
12/8/2016,EURO,109.43,109.3055556,109.5544444
12/8/2016,USHS,35.4997,35.41725632,35.58204593
12/8/2016,TSHS,21.3685,21.29934031,21.43756919
12/8/2016,RWF,7.9728,7.931016089,8.014647261
12/8/2016,BIF,16.4947,16.38109338,16.60822668
12/9/2016,US DOLLAR,101.9739,101.8738889,102.0738889
12/9/2016,STG POUND,128.4358,128.2922222,128.5794444
12/9/2016,EURO,108.2622,108.1483333,108.3761111
12/9/2016,USHS,35.3327,35.24897542,35.41633719
12/9/2016,TSHS,21.3781,21.30809381,21.44808669
12/9/2016,RWF,7.9737,7.93150931,8.015792947
12/9/2016,BIF,16.5102,16.39596589,16.6244758
12/13/2016,US DOLLAR,102.0817,101.9816667,102.1816667
12/13/2016,STG POUND,128.36,128.2083333,128.5116667
12/13/2016,EURO,107.9483,107.8261111,108.0705556
12/13/2016,USHS,35.217,35.13350405,35.3004625
12/13/2016,TSHS,21.3555,21.28561875,21.4254196
12/13/2016,RWF,7.9676,7.925492179,8.009674942
12/13/2016,BIF,16.4965,16.35792461,16.63514684
12/14/2016,US DOLLAR,102.0978,101.9977778,102.1977778
12/14/2016,STG POUND,129.8225,129.6761111,129.9688889
12/14/2016,EURO,108.4069,108.2811111,108.5327778
12/14/2016,USHS,35.0645,34.98119115,35.14782457
12/14/2016,TSHS,21.3521,21.28226315,21.42203534
12/14/2016,RWF,7.9694,7.927276088,8.011449051
12/14/2016,BIF,16.4988,16.38470069,16.61291096
12/15/2016,US DOLLAR,102.1006,102.0005556,102.2005556
12/15/2016,STG POUND,129.675,129.535,129.815
12/15/2016,EURO,108.6389,108.5161111,108.7616667
12/15/2016,USHS,35.2594,35.17593403,35.34294476
12/15/2016,TSHS,21.332,21.26211534,21.40184422
12/15/2016,RWF,7.9692,7.927158474,8.011328914
12/15/2016,BIF,16.5084,16.37045896,16.64628188
12/16/2016,US DOLLAR,102.1861,102.0861111,102.2861111
12/16/2016,STG POUND,126.9306,126.7872222,127.0738889
12/16/2016,EURO,106.5619,106.4427778,106.6811111
12/16/2016,USHS,35.181,35.0976292,35.26434655
12/16/2016,TSHS,21.3435,21.27366048,21.41329488
12/16/2016,RWF,7.965,7.922972056,8.007063753
12/16/2016,BIF,16.4875,16.37348396,16.60147479
12/19/2016,US DOLLAR,102.1978,102.0977778,102.2977778
12/19/2016,STG POUND,127.5422,127.3977778,127.6866667
